source_order_id,input_weight,scheduled_weight,passed
0002002195-000140,72.0,72.0,True
0002002195-000150,175.0,175.0,True
0002002195-000160,635.0,635.0,True
0002002195-000170,24.0,24.0,True
0002002195-000180,25.0,25.0,True
0002002195-000190,24.0,24.0,True
0002002195-000200,24.0,24.0,True
0002002195-000210,8.86,8.86,True
0002002195-000220,80.0,80.0,True
0002002195-000230,24.0,24.0,True
0002002195-000240,24.0,24.0,True
0002002195-000250,24.0,24.0,True
0002002202-000010,19.0,19.0,True
0002002202-000020,23.0,23.0,True
0002002202-000030,23.0,23.0,True
0002002202-000040,23.0,23.0,True
0002002202-000050,25.0,25.0,True
0002002202-000060,46.0,46.0,True
0002002202-000070,16.0,16.0,True
0002002202-000080,23.0,23.0,True
0002002202-000090,138.0,138.0,True
0002002202-000100,19.0,19.0,True
0002002202-000110,23.0,23.0,True
0002002202-000120,23.0,23.0,True
0002002202-000130,23.0,23.0,True
0002002202-000140,23.0,23.0,True
0002002202-000150,25.0,25.0,True
0002002202-000160,19.0,19.0,True
0002002202-000170,19.0,19.0,True
0002002202-000180,19.0,19.0,True
0002002202-000190,23.0,23.0,True
0002002202-000200,19.0,19.0,True
0002002202-000210,8.21,8.21,True
0002002202-000220,23.0,23.0,True
0002002202-000230,19.0,19.0,True
0002002202-000240,19.0,19.0,True
0002002202-000260,15.93,15.93,True
0002002202-000270,23.0,23.0,True
0002002202-000280,19.0,19.0,True
0002002202-000290,16.0,16.0,True
0002002202-000300,30.0,30.0,True
0005000545-000020,9.59,9.59,True
0005000546-000010,7.0,7.0,True
0005000547-000400,20.0,20.0,True
0005000548-000050,7.0,7.0,True
0005000562-000050,23.0,23.0,True
0005000563-000030,63.0,63.0,True
0005000563-000090,21.0,21.0,True
0005000563-000130,42.0,42.0,True
0005000563-000170,48.0,48.0,True
0005000563-000210,21.0,21.0,True
0005000563-000220,18.22,18.22,True
0005000563-000240,16.0,16.0,True
0005000563-000270,18.0,18.0,True
0005000563-000280,21.0,21.0,True
0005000563-000290,20.0,20.0,True
0005000571-000020,7.0,7.0,True
0005000571-000030,7.0,7.0,True
0005000571-000040,10.0,10.0,True
