source_order_id,input_weight,output_weight,piece_count,passed
0030117283-000030,13.32,13.32,1,True
0030117110-000010,13.2,13.2,1,True
0030117110-000020,21.51,21.51,1,True
0030117110-000090,4.67,4.67,1,True
0030120974-000030,23,23.0,1,True
0030120817-000050,50,50.0,1,True
0030125207-000060,24,24.0,1,True
0030125207-000140,44,44.0,1,True
0030125207-000130,22,22.0,1,True
0030125207-000040,46,46.0,1,True
0030125207-000080,46,46.0,1,True
0030125207-000090,24,24.0,1,True
0030125207-000030,22,22.0,1,True
0030125207-000050,48,48.0,1,True
0030125207-000100,24,24.0,1,True
0030125207-000070,24,24.0,1,True
0030125206-000010,23,23.0,1,True
0030125207-000110,24,24.0,1,True
0030125207-000120,22,22.0,1,True
0030125207-000020,22,22.0,1,True
0030125168-000010,72,72.0,1,True
0030125101-000020,120,120.0,1,True
0030125184-000010,48,48.0,1,True
0030125168-000070,24,24.0,1,True
0030125168-000050,24,24.0,1,True
0030125170-000010,20,20.0,1,True
0030125102-000010,72,72.0,1,True
0030125168-000080,24,24.0,1,True
0030125168-000040,48,48.0,1,True
0030125168-000020,48,48.0,1,True
0030125101-000030,48,48.0,1,True
0030125168-000090,24,24.0,1,True
0030125168-000030,48,48.0,1,True
0030125168-000060,24,24.0,1,True
0030124871-000070,230,230.0,1,True
0030124871-000040,20,20.0,1,True
0030124574-000010,23,23.0,1,True
0030125147-000010,24,24.0,1,True
0030125157-000010,26,26.0,1,True
0030124800-000060,23,23.0,1,True
0030124800-000010,24,24.0,1,True
0005000571-000020,7,7.0,1,True
0005000571-000040,10,10.0,1,True
0005000571-000030,7,7.0,1,True
0030123654-000020,48,48.0,1,True
0030125150-000010,24,24.0,1,True
0030124438-000010,23,23.0,1,True
0030124800-000050,23,23.0,1,True
0030124800-000030,23,23.0,1,True
0030124871-000140,30,30.0,1,True
0030123654-000010,48,48.0,1,True
0030124871-000130,180,180.0,1,True
0030124871-000020,20,20.0,1,True
0030124871-000110,140,140.0,1,True
0030123654-000030,24,24.0,1,True
0030125150-000030,96,96.0,1,True
0030124871-000090,70,70.0,1,True
0030124871-000060,300,300.0,1,True
0030124800-000040,24,24.0,1,True
0030124800-000020,24,24.0,1,True
0030125147-000030,110,110.0,1,True
0030125147-000020,23,23.0,1,True
0030124437-000020,22,22.0,1,True
0030124871-000050,20,20.0,1,True
0030124871-000010,25,25.0,1,True
0030124871-000120,220,220.0,1,True
0030124871-000030,20,20.0,1,True
0030125150-000020,24,24.0,1,True
0030124437-000010,18,18.0,1,True
0030124800-000080,24,24.0,1,True
0030124800-000070,23,23.0,1,True
0030125097-000010,7.65,7.65,1,True
0030124824-000020,430,430.0,1,True
0030124824-000050,23.11,23.11,1,True
0030124824-000030,37.29,37.29,1,True
0030124824-000010,20,20.0,1,True
0030124827-000010,70,70.0,1,True
0030124824-000040,92.95,92.95,1,True
0030124827-000020,50,50.0,1,True
0030124826-000030,30,30.0,1,True
0030124826-000010,40,40.0,1,True
0030124826-000040,50,50.0,1,True
0030124772-000030,24,24.0,1,True
0030124772-000060,23,23.0,1,True
0030124772-000020,24,24.0,1,True
0030124772-000010,24,24.0,1,True
0030124735-000110,24,24.0,1,True
0030124735-000080,24,24.0,1,True
0030124735-000070,24,24.0,1,True
0030124735-000120,24,24.0,1,True
0030124735-000090,24,24.0,1,True
0030124683-000010,96,96.0,1,True
0005000575-000020,20,20.0,1,True
0030124735-000100,24,24.0,1,True
0030124734-000010,24,24.0,1,True
0030124683-000040,192,192.0,1,True
0030124583-000010,24,24.0,1,True
