artifact_kind,publishable,node_id,source_order_id,source_resource_id,source_period,assigned_period,chain_id,chain_sequence,node_sequence,weight,width,thickness,min_temperature,max_temperature,grade,grade_class,hot_roll_grade,soft_hard_class,material_role,split_lineage,virtual_lineage,width_warning,thickness_warning,temperature_warning,chain_warning,business_warning
diagnostic_candidate,False,0030118261-000010,0030118261-000010,0030118261-000010,BR_00000001,BR_00000001,numeric-chain-000013,1,24,57.02,1145,1,830,850,HDX53D+Z-SN,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0002002053-000050,0002002053-000050,0002002053-000050,BR_00000001,BR_00000001,numeric-chain-000013,1,25,13.67,1100,1.2,820,840,DX53D+Z-MD,IF钢,SPHETI-5,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0030120939-000070,0030120939-000070,0030120939-000070,BR_00000002,BR_00000001,numeric-chain-000013,1,26,23,1100,1.2,810,830,HC180YD+Z,加磷高强、烘烤硬化钢,H180YD,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0030120939-000060,0030120939-000060,0030120939-000060,BR_00000002,BR_00000001,numeric-chain-000013,1,27,23.45,1080,1.2,810,830,HC180YD+Z,加磷高强、烘烤硬化钢,H180YD,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0030117285-000070,0030117285-000070,0030117285-000070,BR_00000001,BR_00000001,numeric-chain-000013,1,28,12.8,1060,1,800,820,SCG260Y+Z,加磷高强、烘烤硬化钢,H260Y,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0030123143-000070,0030123143-000070,0030123143-000070,BR_00000006,BR_00000001,numeric-chain-000013,1,29,88,1060,1,800,820,SCG260Y+Z,加磷高强、烘烤硬化钢,H260Y,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0002002021-000070,0002002021-000070,0002002021-000070,BR_00000001,BR_00000001,numeric-chain-000013,1,30,19,1044,1,770,810,DC51D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0030122898-000010,0030122898-000010,0030122898-000010,BR_00000006,BR_00000001,numeric-chain-000013,1,31,50,1000,0.8,700,840,DC51D+Z,普碳,SPHC,软钢,actual_transition,,,,,,,
diagnostic_candidate,False,0030122899-000020,0030122899-000020,0030122899-000020,BR_00000006,BR_00000001,numeric-chain-000013,1,32,187.98,1000,1,700,840,DC51D+Z,普碳,SPHC,软钢,actual_transition,,,,,,,
diagnostic_candidate,False,0030117110-000090,0030117110-000090,0030117110-000090,BR_00000001,BR_00000001,numeric-chain-000013,1,33,4.67,955,1,830,850,CR3,IF钢,SPHETI-36,软钢,normal_real,,,,,,,
