         454701582 function calls (443071106 primitive calls) in 79.136 seconds

   Ordered by: cumulative time
   List reduced from 345 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  9268960    1.604    0.000    3.603    0.000 /Users/miles/anaconda3/envs/aps_3.10.18/lib/python3.10/dataclasses.py:1210(is_dataclass)
  8124722    1.016    0.000    3.560    0.000 /private/tmp/apsgo-v7-reuse-pairs.UlRN2t/new/src/apsgo_scheduler/core/contracts.py:111(<genexpr>)
  5804030    1.535    0.000    3.555    0.000 {built-in method builtins.any}
   463448    3.294    0.000    3.294    0.000 /Users/miles/anaconda3/envs/aps_3.10.18/lib/python3.10/json/encoder.py:204(iterencode)
     2263    0.001    0.000    2.834    0.001 /private/tmp/apsgo-v7-reuse-pairs.UlRN2t/new/src/apsgo_scheduler/core/rules/rule_set.py:192(evaluate_plan)
  3702766    1.379    0.000    2.696    0.000 /private/tmp/apsgo-v7-reuse-pairs.UlRN2t/new/src/apsgo_scheduler/core/compatibility.py:67(_finite_projection)
    65005    0.021    0.000    2.496    0.000 /private/tmp/apsgo-v7-reuse-pairs.UlRN2t/new/src/apsgo_scheduler/core/model.py:252(total_weight)
     2263    0.004    0.000    2.179    0.001 /private/tmp/apsgo-v7-reuse-pairs.UlRN2t/new/src/apsgo_scheduler/core/rules/concrete.py:1171(evaluate)
  9907682    0.930    0.000    2.177    0.000 /Users/miles/anaconda3/envs/aps_3.10.18/lib/python3.10/abc.py:117(__instancecheck__)
    54200    0.018    0.000    2.080    0.000 /private/tmp/apsgo-v7-reuse-pairs.UlRN2t/new/src/apsgo_scheduler/core/rules/concrete.py:1178(<genexpr>)
        1    0.002    0.002    2.018    2.018 /private/tmp/apsgo-v7-reuse-pairs.UlRN2t/new/src/apsgo_scheduler/core/neighborhoods.py:1004(improve_chain_order)
  1109360    0.460    0.000    1.845    0.000 /private/tmp/apsgo-v7-reuse-pairs.UlRN2t/new/src/apsgo_scheduler/core/rules/base.py:188(__post_init__)
  9931029    0.981    0.000    1.771    0.000 <string>:1(<lambda>)
  2254373    0.783    0.000    1.691    0.000 /private/tmp/apsgo-v7-reuse-pairs.UlRN2t/new/src/apsgo_scheduler/core/contracts.py:126(freeze_tuple)
  9270752    1.645    0.000    1.645    0.000 {built-in method builtins.hasattr}
  1727381    0.543    0.000    1.384    0.000 {built-in method builtins.max}
   172491    0.665    0.000    1.320    0.000 /private/tmp/apsgo-v7-reuse-pairs.UlRN2t/new/src/apsgo_scheduler/core/rules/concrete.py:341(evaluate)
  9907682    0.997    0.000    1.247    0.000 {built-in method _abc._abc_instancecheck}
  4344147    0.919    0.000    1.225    0.000 /private/tmp/apsgo-v7-reuse-pairs.UlRN2t/new/src/apsgo_scheduler/core/contracts.py:76(require_text)
      818    0.003    0.000    1.217    0.001 /private/tmp/apsgo-v7-reuse-pairs.UlRN2t/new/src/apsgo_scheduler/core/neighborhoods.py:606(_internal_variants)
     1568    0.002    0.000    1.200    0.001 /private/tmp/apsgo-v7-reuse-pairs.UlRN2t/new/src/apsgo_scheduler/core/evaluation.py:303(quick_chain_prohibited_profile)
   455736    0.649    0.000    1.196    0.000 /Users/miles/anaconda3/envs/aps_3.10.18/lib/python3.10/dataclasses.py:1187(fields)


         454701582 function calls (443071106 primitive calls) in 79.136 seconds

   Ordered by: internal time
   List reduced from 345 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
12041983/463448    7.753    0.000   21.788    0.000 /private/tmp/apsgo-v7-reuse-pairs.UlRN2t/new/src/apsgo_scheduler/core/contracts.py:31(encode)
104600314    5.144    0.000    7.321    0.000 {built-in method builtins.isinstance}
