         54662449 function calls (54307839 primitive calls) in 12.166 seconds

   Ordered by: cumulative time
   List reduced from 1060 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      176    0.002    0.000    0.456    0.003 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_search.py:514(_build_plan)
   476875    0.079    0.000    0.415    0.000 /Users/miles/anaconda3/envs/aps_3.10.18/lib/python3.10/site-packages/numpy/_core/_methods.py:67(_all)
    22290    0.018    0.000    0.377    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_rules.py:712(<genexpr>)
      174    0.031    0.000    0.353    0.002 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_evaluation.py:300(_delivery)
      388    0.001    0.000    0.347    0.001 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_resources.py:134(extend_resource_workspace)
   483542    0.342    0.000    0.342    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     1198    0.094    0.000    0.322    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_construction.py:394(dfs)
  6944392    0.268    0.000    0.315    0.000 {built-in method builtins.isinstance}
   461758    0.184    0.000    0.271    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_units.py:53(round_half_up_ratio)
      762    0.003    0.000    0.249    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_rules.py:720(evaluate_numeric_rows)
  2678095    0.201    0.000    0.224    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_rules.py:227(<genexpr>)
    17832    0.010    0.000    0.224    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_rules.py:706(<genexpr>)
        1    0.002    0.002    0.197    0.197 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_construction.py:500(construct_numeric_initial_plan)
      174    0.006    0.000    0.196    0.001 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_evaluation.py:406(_chain_facts)
   924866    0.164    0.000    0.191    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/budget.py:20(_finite_time)
        1    0.000    0.000    0.189    0.189 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_solver.py:51(finish)
        1    0.000    0.000    0.188    0.188 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/solver.py:320(build_core_solver_result)
     3696    0.012    0.000    0.181    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_evaluation.py:379(_one_chain_facts)
      388    0.002    0.000    0.164    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_rules.py:435(rebind)
      394    0.017    0.000    0.164    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_state.py:535(extend_numeric_task)
      174    0.003    0.000    0.150    0.001 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_evaluation.py:479(_assemble_evaluation)
        3    0.000    0.000    0.149    0.050 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/solver.py:65(_problem_fingerprint)
        1    0.000    0.000    0.138    0.138 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_audit.py:156(audit_numeric_core_without_search_cache)
  2033924    0.115    0.000    0.117    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_rules.py:229(<genexpr>)
      174    0.031    0.000    0.116    0.001 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_evaluation.py:343(<listcomp>)
    87236    0.028    0.000    0.116    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_rules.py:615(<genexpr>)
        2    0.000    0.000    0.107    0.054 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/solver.py:69(_identity_issues)
  1077192    0.101    0.000    0.105    0.000 {built-in method builtins.max}
  2106061    0.090    0.000    0.090    0.000 {built-in method builtins.getattr}
   922329    0.090    0.000    0.090    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/contracts.py:94(require_int)
   248241    0.040    0.000    0.090    0.000 /Users/miles/anaconda3/envs/aps_3.10.18/lib/python3.10/dataclasses.py:1210(is_dataclass)
   669457    0.087    0.000    0.087    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_rules.py:567(<genexpr>)
     2221    0.003    0.000    0.085    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_search.py:695(_edge_allowed)
     3052    0.002    0.000    0.085    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/contracts.py:69(dump)
     3052    0.003    0.000    0.083    0.000 /Users/miles/anaconda3/envs/aps_3.10.18/lib/python3.10/json/__init__.py:183(dumps)
   645190    0.074    0.000    0.078    0.000 {built-in method builtins.min}
        1    0.003    0.003    0.078    0.078 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/app/input_normalizer.py:45(normalize_input)
     3052    0.003    0.000    0.078    0.000 /Users/miles/anaconda3/envs/aps_3.10.18/lib/python3.10/json/encoder.py:182(encode)


