artifact_kind,publishable,node_id,source_order_id,source_resource_id,source_period,assigned_period,chain_id,chain_sequence,node_sequence,weight,width,thickness,min_temperature,max_temperature,grade,grade_class,hot_roll_grade,soft_hard_class,material_role,split_lineage,virtual_lineage,width_warning,thickness_warning,temperature_warning,chain_warning,business_warning
diagnostic_candidate,True,0030120757-000020,0030120757-000020,0030120757-000020,BR_00000001,BR_00000001,numeric-chain-000005,2,12,66,1044,0.7,830,850,DC54D+Z,IF钢,SPHETI-5,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0030119215-000010,0030119215-000010,0030119215-000010,BR_00000001,BR_00000001,numeric-chain-000005,2,13,22,1001,0.6,820,840,DC53D+Z,IF钢,SPHETI-5,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0002002055-000080,0002002055-000080,0002002055-000080,BR_00000001,BR_00000001,numeric-chain-000018,3,1,341,1150,0.5,815,835,DX51D+Z-MD,普碳,SPHC,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0002002055-000040,0002002055-000040,0002002055-000040,BR_00000001,BR_00000001,numeric-chain-000018,3,2,591,1150,0.5,815,835,DX51D+Z-MD,普碳,SPHC,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0030118641-000010,0030118641-000010,0030118641-000010,BR_00000001,BR_00000001,numeric-chain-000019,4,1,46,1200,0.4,700,840,DC51D+Z,普碳,SPHC,软钢,actual_transition,,,,,,,
diagnostic_candidate,True,0002002054-000040,0002002054-000040,0002002054-000040,BR_00000001,BR_00000001,numeric-chain-000019,4,2,191,1150,0.5,815,835,DX51D+Z-MD,普碳,SPHC,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0002002054-000310,0002002054-000310,0002002054-000310,BR_00000001,BR_00000001,numeric-chain-000019,4,3,72,1100,0.5,820,840,DX53D+Z-CD,IF钢,SPHETI-5,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0030123142-000030,0030123142-000030,0030123142-000030,BR_00000006,BR_00000001,numeric-chain-000019,4,4,132,1090,0.55,830,850,SCG4+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0030123425-000010,0030123425-000010,0030123425-000010,BR_00000006,BR_00000001,numeric-chain-000019,4,5,132,1090,0.55,830,850,SCG4+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0030122066-000020,0030122066-000020,0030122066-000020,BR_00000003,BR_00000001,numeric-chain-000019,4,6,24,1000,0.6,830,850,DC54D+Z,IF钢,SPHETI-5,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0030122480-000090,0030122480-000090,0030122480-000090,BR_00000006,BR_00000001,numeric-chain-000019,4,7,22,990,0.7,830,850,DX53D+Z,IF钢,SPHETI-5,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0002002162-000080,0002002162-000080,0002002162-000080,BR_00000006,BR_00000001,numeric-chain-000019,4,8,18,950,0.8,830,850,DC56D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0030120940-000030,0030120940-000030,0030120940-000030,BR_00000002,BR_00000001,numeric-chain-000019,4,9,18,950,0.7,830,850,DC56D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0030122080-000010,0030122080-000010,0030122080-000010,BR_00000003,BR_00000001,numeric-chain-000019,4,10,54,865,0.8,830,850,DX53D+Z,IF钢,SPHETI-5,软钢,normal_real,,,,,,,
