chain_id,assigned_period,position,node_id,source_order_id,source_resource_id,source_period,material_role,weight,width,thickness,min_temperature,max_temperature,grade,partition_id,piece_index,virtual_prototype_id,virtual_purpose,virtual_accepted_sequence,related_partition_id
initial-000001,BR_00000001,33,0002002176-000200,0002002176-000200,0002002176-000200,BR_00000006,normal_real,15.0,1080.0,0.6,770.0,810.0,DC51D+Z,,,,,,
initial-000001,BR_00000001,34,0030124800-000050,0030124800-000050,0030124800-000050,BR_00000006,normal_real,23.0,1066.0,0.5,770.0,810.0,DX52D+Z,,,,,,
initial-000001,BR_00000001,35,0002002184-000130,0002002184-000130,0002002184-000130,BR_00000006,normal_real,19.0,1063.0,0.6,770.0,810.0,DC51D+Z,,,,,,
initial-000001,BR_00000001,36,0002002195-000050,0002002195-000050,0002002195-000050,BR_00000006,normal_real,48.0,1063.0,0.65,770.0,810.0,DC51D+Z,,,,,,
initial-000003,BR_00000001,0,0002002187-000010,0002002187-000010,0002002187-000010,BR_00000006,normal_real,25.0,1710.0,0.6,810.0,830.0,180YD+Z,,,,,,
initial-000003,BR_00000001,1,0002002170-000300,0002002170-000300,0002002170-000300,BR_00000006,normal_real,23.0,1500.0,0.6,810.0,830.0,180YD+Z,,,,,,
initial-000003,BR_00000001,2,0030124457-000020,0030124457-000020,0030124457-000020,BR_00000006,normal_real,24.0,1483.0,0.6,820.0,840.0,DX53D+Z,,,,,,
initial-000003,BR_00000001,3,0002002184-000220,0002002184-000220,0002002184-000220,BR_00000006,normal_real,23.0,1455.0,0.6,830.0,850.0,DC53D+Z,,,,,,
initial-000003,BR_00000001,4,0005000563-000280,0005000563-000280,0005000563-000280,BR_00000006,normal_real,21.0,1448.0,0.8,830.0,850.0,CR3,,,,,,
initial-000003,BR_00000001,5,0030119860-000030,0030119860-000030,0030119860-000030,BR_00000001,normal_real,56.58,1410.0,0.8,830.0,850.0,DC56D+Z,,,,,,
initial-000003,BR_00000001,6,0002002053-000120,0002002053-000120,0002002053-000120,BR_00000001,normal_real,18.57,1400.0,0.8,820.0,840.0,DX53D+Z-MD,,,,,,
initial-000003,BR_00000001,7,0005000563-000030,0005000563-000030,0005000563-000030,BR_00000006,normal_real,63.0,1365.0,0.8,830.0,850.0,CR180BH,,,,,,
initial-000003,BR_00000001,8,0002002020-000080,0002002020-000080,0002002020-000080,BR_00000001,normal_real,13.01,1364.0,1.0,830.0,850.0,DC54D+Z,,,,,,
initial-000003,BR_00000001,9,0005000563-000130,0005000563-000130,0005000563-000130,BR_00000006,normal_real,42.0,1350.0,0.8,830.0,850.0,CR180BH,,,,,,
initial-000003,BR_00000001,10,0030122476-000050,0030122476-000050,0030122476-000050,BR_00000006,normal_real,8.0,1325.0,1.0,830.0,850.0,DC56D+Z,,,,,,
initial-000003,BR_00000001,11,0030124567-000010,0030124567-000010,0030124567-000010,BR_00000006,normal_real,24.0,1310.0,1.0,830.0,850.0,DC56D+Z,,,,,,
initial-000003,BR_00000001,12,0030121196-000020,0030121196-000020,0030121196-000020,BR_00000002,normal_real,24.0,1300.0,0.95,830.0,850.0,DC56D+Z,,,,,,
initial-000003,BR_00000001,13,0002002053-000180,0002002053-000180,0002002053-000180,BR_00000001,normal_real,60.0,1300.0,1.0,820.0,840.0,DX53D+Z-MD,,,,,,
initial-000003,BR_00000001,14,0002002054-000100,0002002054-000100,0002002054-000100,BR_00000001,normal_real,75.01,1300.0,1.0,820.0,840.0,DX53D+Z-MD,,,,,,
initial-000003,BR_00000001,15,0030124731-000010,0030124731-000010,0030124731-000010,BR_00000006,normal_real,48.0,1290.0,0.9,830.0,850.0,DC54D+Z,,,,,,
initial-000003,BR_00000001,16,0002002195-000180,0002002195-000180,0002002195-000180,BR_00000006,normal_real,25.0,1258.0,0.8,830.0,850.0,DC53D+Z,,,,,,
initial-000003,BR_00000001,17,0030123916-000030,0030123916-000030,0030123916-000030,BR_00000006,actual_transition,69.0,1250.0,1.0,700.0,840.0,DC51D+Z,,,,,,
initial-000003,BR_00000001,18,0010020206-000080,0010020206-000080,0010020206-000080,BR_00000006,actual_transition,122.45,1250.0,1.0,700.0,840.0,DC51D+Z,,,,,,
initial-000003,BR_00000001,19,0002002195-000100,0002002195-000100,0002002195-000100,BR_00000006,normal_real,230.0,1220.0,1.0,830.0,850.0,DC53D+Z,,,,,,
initial-000003,BR_00000001,20,0030122476-000070,0030122476-000070,0030122476-000070,BR_00000006,normal_real,24.0,1205.0,1.0,830.0,850.0,DC56D+Z,,,,,,
initial-000003,BR_00000001,21,0030117976-000020,0030117976-000020,0030117976-000020,BR_00000001,actual_transition,7.91,1201.0,1.0,700.0,840.0,DC51D+Z,,,,,,
initial-000003,BR_00000001,22,0030125207-000090,0030125207-000090,0030125207-000090,BR_00000006,normal_real,24.0,1183.0,0.8,830.0,850.0,DC51D+Z,,,,,,
initial-000003,BR_00000001,23,0030124772-000030,0030124772-000030,0030124772-000030,BR_00000006,normal_real,24.0,1180.0,0.7,820.0,840.0,DC53D+Z,,,,,,
initial-000003,BR_00000001,24,0030122759-000010,0030122759-000010,0030122759-000010,BR_00000006,normal_real,22.0,1170.0,0.7,830.0,850.0,CR3,,,,,,
initial-000003,BR_00000001,25,0002002009-000050,0002002009-000050,0002002009-000050,BR_00000001,normal_real,8.22,1168.0,0.65,830.0,850.0,DC53D+Z,,,,,,
initial-000003,BR_00000001,26,0030124871-000040,0030124871-000040,0030124871-000040,BR_00000006,normal_real,20.0,1160.0,0.6,820.0,840.0,DX53D+Z,,,,,,
initial-000003,BR_00000001,27,0002002152-000010,0002002152-000010,0002002152-000010,BR_00000006,normal_real,23.0,1155.0,0.65,810.0,830.0,HC180YD+Z,,,,,,
initial-000003,BR_00000001,28,split-partition-12867008acf6a0ea9d8776d23dc778175dc8c9ecf45f1c627e21aad01e519f05:piece:0001,0002002055-000120,0002002055-000120,BR_00000001,normal_real,500.0,1150.0,0.6,820.0,840.0,DX53D+Z-MD,partition-12867008acf6a0ea9d8776d23dc778175dc8c9ecf45f1c627e21aad01e519f05,1,,,,
initial-000003,BR_00000001,29,virtual-000015,,,,virtual_sphc,20.0,1250.0,0.6,820.0,840.0,SPHC,,,virtual_sphc:1250x0.6,split_separator,15,partition-12867008acf6a0ea9d8776d23dc778175dc8c9ecf45f1c627e21aad01e519f05
initial-000003,BR_00000001,30,split-partition-12867008acf6a0ea9d8776d23dc778175dc8c9ecf45f1c627e21aad01e519f05:piece:0002,0002002055-000120,0002002055-000120,BR_00000001,normal_real,70.3,1150.0,0.6,820.0,840.0,DX53D+Z-MD,partition-12867008acf6a0ea9d8776d23dc778175dc8c9ecf45f1c627e21aad01e519f05,2,,,,
initial-000003,BR_00000001,31,0002002054-000340,0002002054-000340,0002002054-000340,BR_00000001,normal_real,102.32,1150.0,0.6,815.0,835.0,DX51D+Z-MD,,,,,,
initial-000003,BR_00000001,32,0002002055-000110,0002002055-000110,0002002055-000110,BR_00000001,normal_real,15.3,1100.0,0.8,815.0,835.0,DX51D+Z-MD,,,,,,
initial-000003,BR_00000001,33,0030124574-000010,0030124574-000010,0030124574-000010,BR_00000006,actual_transition,23.0,1100.0,1.0,700.0,840.0,DC51D+Z,,,,,,
initial-000003,BR_00000001,34,0030124824-000010,0030124824-000010,0030124824-000010,BR_00000006,normal_real,20.0,1060.0,0.95,710.0,730.0,DX51D+Z,,,,,,
initial-000003,BR_00000001,35,0030124826-000010,0030124826-000010,0030124826-000010,BR_00000006,normal_real,40.0,1000.0,1.15,710.0,730.0,DX51D+Z,,,,,,
initial-000003,BR_00000001,36,0030124207-000010,0030124207-000010,0030124207-000010,BR_00000006,actual_transition,24.0,1000.0,1.2,700.0,840.0,DC51D+Z,,,,,,
initial-000003,BR_00000001,37,0002002180-000160,0002002180-000160,0002002180-000160,BR_00000006,normal_real,20.0,885.0,1.4,770.0,810.0,DC51D+Z,,,,,,
initial-000008,BR_00000001,0,0002002193-000030,0002002193-000030,0002002193-000030,BR_00000006,normal_real,52.0,1655.0,1.0,770.0,810.0,DC51D+Z,,,,,,
initial-000008,BR_00000001,1,0010020206-000100,0010020206-000100,0010020206-000100,BR_00000006,actual_transition,95.94,1500.0,1.0,700.0,840.0,DC51D+Z,,,,,,
initial-000008,BR_00000001,2,0030120817-000050,0030120817-000050,0030120817-000050,BR_00000003,normal_real,50.0,1480.0,1.2,785.0,815.0,HC420/780DPD+Z,,,,,,
initial-000008,BR_00000001,3,0030124735-000110,0030124735-000110,0030124735-000110,BR_00000006,actual_transition,24.0,1350.0,1.4,700.0,840.0,DX51D+Z,,,,,,
initial-000008,BR_00000001,4,0030124735-000070,0030124735-000070,0030124735-000070,BR_00000006,normal_real,24.0,1350.0,1.4,805.0,825.0,HC260YD+Z,,,,,,
initial-000008,BR_00000001,5,0030121501-000010,0030121501-000010,0030121501-000010,BR_00000001,normal_real,25.11,1330.0,1.2,800.0,820.0,HC260YD+Z,,,,,,
initial-000008,BR_00000001,6,virtual-000018,,,,virtual_sphc,20.0,1250.0,1.5,760.0,820.0,SPHC,,,virtual_sphc:1250x1.5,edge_bridge,18,
initial-000008,BR_00000001,7,virtual-000019,,,,virtual_sphc,20.0,1250.0,2.0,760.0,820.0,SPHC,,,virtual_sphc:1250x2,edge_bridge,19,
initial-000008,BR_00000001,8,0030122066-000070,0030122066-000070,0030122066-000070,BR_00000003,normal_real,24.0,1299.0,2.49,760.0,780.0,HC340/590DPD+Z,,,,,,
initial-000008,BR_00000001,9,virtual-000020,,,,virtual_sphc,20.0,1250.0,2.0,760.0,810.0,SPHC,,,virtual_sphc:1250x2,edge_bridge,20,
initial-000008,BR_00000001,10,virtual-000021,,,,virtual_sphc,20.0,1250.0,1.5,760.0,810.0,SPHC,,,virtual_sphc:1250x1.5,edge_bridge,21,
initial-000008,BR_00000001,11,0002002170-000350,0002002170-000350,0002002170-000350,BR_00000006,normal_real,23.0,1300.0,1.2,770.0,810.0,DC51D+Z,,,,,,
initial-000008,BR_00000001,12,0030122488-000020,0030122488-000020,0030122488-000020,BR_00000006,normal_real,96.0,1250.0,1.25,770.0,810.0,DC52D+Z,,,,,,
initial-000008,BR_00000001,13,0010019881-000040,0010019881-000040,0010019881-000040,BR_00000006,actual_transition,96.0,1250.0,1.45,700.0,840.0,DC51D+Z,,,,,,
initial-000008,BR_00000001,14,0030120939-000090,0030120939-000090,0030120939-000090,BR_00000002,normal_real,24.0,1250.0,1.5,810.0,830.0,HC180YD+Z,,,,,,
initial-000008,BR_00000001,15,0030124735-000080,0030124735-000080,0030124735-000080,BR_00000006,normal_real,24.0,1250.0,1.8,805.0,825.0,HC260YD+Z,,,,,,
initial-000008,BR_00000001,16,0030125101-000030,0030125101-000030,0030125101-000030,BR_00000006,actual_transition,48.0,1242.0,1.5,700.0,840.0,DC51D+Z,,,,,,
initial-000008,BR_00000001,17,0030121432-000010,0030121432-000010,0030121432-000010,BR_00000002,normal_real,48.0,1235.0,1.35,795.0,815.0,HC220YD+Z,,,,,,
initial-000008,BR_00000001,18,0002002202-000110,0002002202-000110,0002002202-000110,BR_00000006,normal_real,23.0,1218.0,1.2,770.0,810.0,DC51D+Z,,,,,,
initial-000008,BR_00000001,19,0002002185-000090,0002002185-000090,0002002185-000090,BR_00000006,normal_real,1.97,1215.0,1.2,770.0,810.0,DC51D+Z,,,,,,
initial-000008,BR_00000001,20,0002002170-000050,0002002170-000050,0002002170-000050,BR_00000006,normal_real,23.0,1175.0,1.2,770.0,810.0,DC51D+Z,,,,,,
initial-000008,BR_00000001,21,0030124683-000050,0030124683-000050,0030124683-000050,BR_00000006,normal_real,23.0,1140.0,1.2,795.0,815.0,HC220YD+Z,,,,,,
initial-000008,BR_00000001,22,0030125170-000010,0030125170-000010,0030125170-000010,BR_00000006,normal_real,20.0,1070.0,1.2,795.0,815.0,HC220YD+Z-GL,,,,,,
initial-000004,BR_00000001,0,0002002193-000020,0002002193-000020,0002002193-000020,BR_00000006,normal_real,260.0,1640.0,0.8,830.0,850.0,DC53D+Z,,,,,,
initial-000004,BR_00000001,1,0030123646-000010,0030123646-000010,0030123646-000010,BR_00000006,normal_real,12.0,1620.0,0.7,830.0,850.0,SCG4+Z,,,,,,
initial-000004,BR_00000001,2,0002002170-000320,0002002170-000320,0002002170-000320,BR_00000006,normal_real,23.0,1515.0,0.7,830.0,850.0,DC53D+Z,,,,,,
initial-000004,BR_00000001,3,0030123255-000020,0030123255-000020,0030123255-000020,BR_00000006,normal_real,46.0,1500.0,0.65,820.0,840.0,HC180BD+Z,,,,,,
initial-000004,BR_00000001,4,0030123256-000030,0030123256-000030,0030123256-000030,BR_00000006,normal_real,46.0,1490.0,0.65,820.0,840.0,HC180BD+Z,,,,,,
initial-000004,BR_00000001,5,0030118966-000010,0030118966-000010,0030118966-000010,BR_00000001,normal_real,31.64,1488.0,0.65,830.0,850.0,DC56D+Z,,,,,,
initial-000004,BR_00000001,6,0002002176-000150,0002002176-000150,0002002176-000150,BR_00000006,normal_real,23.0,1470.0,0.65,830.0,850.0,DC53D+Z,,,,,,
initial-000004,BR_00000001,7,0002002170-000010,0002002170-000010,0002002170-000010,BR_00000006,normal_real,23.0,1470.0,0.65,830.0,850.0,DC53D+Z,,,,,,
initial-000004,BR_00000001,8,0030123936-000020,0030123936-000020,0030123936-000020,BR_00000006,normal_real,327.94,1465.0,0.7,830.0,850.0,SCG4+Z,,,,,,
initial-000004,BR_00000001,9,0030123143-000010,0030123143-000010,0030123143-000010,BR_00000006,normal_real,52.0,1455.0,0.7,830.0,850.0,SCG4+Z,,,,,,
initial-000004,BR_00000001,10,0030123936-000010,0030123936-000010,0030123936-000010,BR_00000006,normal_real,182.0,1440.0,0.7,830.0,850.0,SCG4+Z,,,,,,
initial-000004,BR_00000001,11,0002002184-000030,0002002184-000030,0002002184-000030,BR_00000006,normal_real,23.0,1440.0,0.65,830.0,850.0,DC53D+Z,,,,,,
initial-000004,BR_00000001,12,0002002176-000110,0002002176-000110,0002002176-000110,BR_00000006,normal_real,35.0,1418.0,0.65,830.0,850.0,DC53D+Z,,,,,,
initial-000004,BR_00000001,13,0030124683-000030,0030124683-000030,0030124683-000030,BR_00000006,normal_real,48.0,1410.0,0.8,830.0,850.0,DC56D+Z,,,,,,
initial-000004,BR_00000001,14,0030123143-000020,0030123143-000020,0030123143-000020,BR_00000006,normal_real,104.0,1390.0,0.7,830.0,850.0,SCG4+Z,,,,,,
initial-000004,BR_00000001,15,0030119866-000010,0030119866-000010,0030119866-000010,BR_00000001,normal_real,27.97,1385.0,0.6,830.0,850.0,DC54D+Z,,,,,,
initial-000004,BR_00000001,16,0030124199-000010,0030124199-000010,0030124199-000010,BR_00000006,normal_real,26.0,1385.0,0.6,830.0,850.0,DC54D+Z,,,,,,
initial-000004,BR_00000001,17,0030123425-000020,0030123425-000020,0030123425-000020,BR_00000006,normal_real,130.0,1360.0,0.65,830.0,850.0,SCG4+Z,,,,,,
initial-000004,BR_00000001,18,0030123143-000060,0030123143-000060,0030123143-000060,BR_00000006,normal_real,78.0,1360.0,0.65,830.0,850.0,SCG4+Z,,,,,,
initial-000014,BR_00000001,0,0002002177-000030,0002002177-000030,0002002177-000030,BR_00000006,normal_real,15.0,1590.0,0.65,770.0,810.0,DC51D+Z,,,,,,
initial-000014,BR_00000001,1,0002001995-000010,0002001995-000010,0002001995-000010,BR_00000001,normal_real,19.16,1583.0,0.65,770.0,810.0,DC51D+Z,,,,,,
initial-000014,BR_00000001,2,0002002180-000340,0002002180-000340,0002002180-000340,BR_00000006,normal_real,20.0,1555.0,0.6,770.0,810.0,DC51D+Z,,,,,,
initial-000014,BR_00000001,3,0002002180-000130,0002002180-000130,0002002180-000130,BR_00000006,normal_real,34.0,1510.0,0.6,770.0,810.0,DC51D+Z,,,,,,
initial-000014,BR_00000001,4,0002002176-000220,0002002176-000220,0002002176-000220,BR_00000006,normal_real,15.0,1485.0,0.6,770.0,810.0,DC51D+Z,,,,,,
initial-000014,BR_00000001,5,0030118006-000070,0030118006-000070,0030118006-000070,BR_00000001,normal_real,43.72,1480.0,0.8,700.0,840.0,DC51D+Z,,,,,,
initial-000014,BR_00000001,6,0030123142-000010,0030123142-000010,0030123142-000010,BR_00000006,normal_real,312.0,1465.0,0.7,830.0,850.0,SCG4+Z,,,,,,
initial-000014,BR_00000001,7,0030123142-000020,0030123142-000020,0030123142-000020,BR_00000006,normal_real,182.0,1440.0,0.7,830.0,850.0,SCG4+Z,,,,,,
initial-000014,BR_00000001,8,0002002170-000430,0002002170-000430,0002002170-000430,BR_00000006,normal_real,23.0,1440.0,0.65,830.0,850.0,DC53D+Z,,,,,,
initial-000014,BR_00000001,9,0002002055-000100,0002002055-000100,0002002055-000100,BR_00000001,normal_real,18.26,1413.0,0.6,820.0,840.0,DX53D+Z-MD,,,,,,
initial-000014,BR_00000001,10,0030121799-000010,0030121799-000010,0030121799-000010,BR_00000006,normal_real,168.0,1395.0,0.6,830.0,850.0,DC54D+Z,,,,,,
initial-000014,BR_00000001,11,0030121346-000020,0030121346-000020,0030121346-000020,BR_00000002,normal_real,48.0,1393.0,0.5,820.0,840.0,DX53D+Z,,,,,,
initial-000014,BR_00000001,12,0030125168-000010,0030125168-000010,0030125168-000010,BR_00000006,normal_real,72.0,1375.0,0.4,700.0,840.0,DC51D+Z,,,,,,
initial-000014,BR_00000001,13,0002002054-000010,0002002054-000010,0002002054-000010,BR_00000001,normal_real,36.83,1365.0,0.5,820.0,840.0,DX53D+Z-CD,,,,,,
initial-000014,BR_00000001,14,0010019718-000010,0010019718-000010,0010019718-000010,BR_00000006,actual_transition,58.0,1350.0,0.5,700.0,840.0,DC51D+Z,,,,,,
initial-000014,BR_00000001,15,0030123654-000020,0030123654-000020,0030123654-000020,BR_00000006,normal_real,48.0,1346.0,0.5,715.0,735.0,DX51D+Z1,,,,,,
initial-000014,BR_00000001,16,0030125168-000030,0030125168-000030,0030125168-000030,BR_00000006,normal_real,48.0,1326.0,0.4,700.0,840.0,DC51D+Z,,,,,,
initial-000014,BR_00000001,17,0030125168-000020,0030125168-000020,0030125168-000020,BR_00000006,normal_real,48.0,1306.0,0.4,700.0,840.0,DC51D+Z,,,,,,
initial-000014,BR_00000001,18,0030119098-000010,0030119098-000010,0030119098-000010,BR_00000001,normal_real,22.98,1306.0,0.4,700.0,840.0,DC51D+Z,,,,,,
initial-000014,BR_00000001,19,0002002054-000270,0002002054-000270,0002002054-000270,BR_00000001,normal_real,12.7,1258.0,0.4,815.0,835.0,DX51D+Z-MD,,,,,,
initial-000014,BR_00000001,20,0002002054-000350,0002002054-000350,0002002054-000350,BR_00000001,normal_real,98.97,1250.0,0.5,815.0,835.0,DX51D+Z-MD,,,,,,
initial-000014,BR_00000001,21,0002002054-000320,0002002054-000320,0002002054-000320,BR_00000001,normal_real,23.0,1235.0,0.5,820.0,840.0,DX53D+Z-CD,,,,,,
initial-000014,BR_00000001,22,0030118641-000010,0030118641-000010,0030118641-000010,BR_00000001,actual_transition,22.03,1200.0,0.4,700.0,840.0,DC51D+Z,,,,,,
initial-000014,BR_00000001,23,0030123916-000010,0030123916-000010,0030123916-000010,BR_00000006,actual_transition,23.0,1200.0,0.4,700.0,840.0,DC51D+Z,,,,,,
initial-000014,BR_00000001,24,0002002055-000080,0002002055-000080,0002002055-000080,BR_00000001,normal_real,5.45,1150.0,0.5,815.0,835.0,DX51D+Z-MD,,,,,,
initial-000014,BR_00000001,25,0002002055-000040,0002002055-000040,0002002055-000040,BR_00000001,normal_real,346.03,1150.0,0.5,815.0,835.0,DX51D+Z-MD,,,,,,
initial-000014,BR_00000001,26,0002002054-000040,0002002054-000040,0002002054-000040,BR_00000001,normal_real,36.52,1150.0,0.5,815.0,835.0,DX51D+Z-MD,,,,,,
initial-000014,BR_00000001,27,0030125168-000050,0030125168-000050,0030125168-000050,BR_00000006,normal_real,24.0,1145.0,0.4,700.0,840.0,DC51D+Z,,,,,,
initial-000014,BR_00000001,28,0030123654-000010,0030123654-000010,0030123654-000010,BR_00000006,normal_real,48.0,1066.0,0.5,715.0,735.0,DX51D+Z1,,,,,,
initial-000014,BR_00000001,29,0030118641-000020,0030118641-000020,0030118641-000020,BR_00000001,actual_transition,6.04,1000.0,0.4,700.0,840.0,DC51D+Z,,,,,,
initial-000014,BR_00000001,30,0030123916-000020,0030123916-000020,0030123916-000020,BR_00000006,actual_transition,23.0,1000.0,0.4,700.0,840.0,DC51D+Z,,,,,,
initial-000016,BR_00000001,0,0030125207-000060,0030125207-000060,0030125207-000060,BR_00000006,normal_real,24.0,1589.0,0.7,770.0,810.0,DC51D+Z,,,,,,
initial-000016,BR_00000001,1,0002002176-000230,0002002176-000230,0002002176-000230,BR_00000006,normal_real,15.0,1555.0,0.6,770.0,810.0,DC51D+Z,,,,,,
initial-000016,BR_00000001,2,0002002185-000130,0002002185-000130,0002002185-000130,BR_00000006,normal_real,23.0,1545.0,0.65,770.0,810.0,DC51D+Z,,,,,,
initial-000016,BR_00000001,3,0002002185-000080,0002002185-000080,0002002185-000080,BR_00000006,normal_real,40.0,1540.0,0.7,770.0,810.0,DC51D+Z,,,,,,
initial-000016,BR_00000001,4,0002001998-000190,0002001998-000190,0002001998-000190,BR_00000001,normal_real,42.46,1510.0,0.6,770.0,810.0,DC51D+Z,,,,,,
initial-000016,BR_00000001,5,0002002195-000160,0002002195-000160,0002002195-000160,BR_00000006,normal_real,635.0,1510.0,0.6,770.0,810.0,DC51D+Z,,,,,,
initial-000016,BR_00000001,6,0002002185-000140,0002002185-000140,0002002185-000140,BR_00000006,normal_real,30.0,1510.0,0.65,770.0,810.0,DC51D+Z,,,,,,
initial-000016,BR_00000001,7,0002002176-000080,0002002176-000080,0002002176-000080,BR_00000006,normal_real,15.0,1498.0,0.65,770.0,810.0,DC51D+Z,,,,,,
