chain_id,assigned_period,position,node_id,source_order_id,source_resource_id,source_period,material_role,weight,width,thickness,min_temperature,max_temperature,grade,partition_id,piece_index,virtual_prototype_id,virtual_purpose,virtual_accepted_sequence,related_partition_id,sequence,small_roll,delivery_date
initial-000001,BR_00000001,10,0030123143-000030,0030123143-000030,0030123143-000030,BR_00000006,normal_real,175.0,1315.0,0.6,830.0,850.0,SCG4+Z,,,,,,,11,01,2026-06-30
initial-000001,BR_00000001,11,0030117110-000020,0030117110-000020,0030117110-000020,BR_00000001,normal_real,21.51,1312.0,0.75,830.0,850.0,CR3,,,,,,,12,01,2026-05-31
initial-000001,BR_00000001,12,0030122759-000020,0030122759-000020,0030122759-000020,BR_00000006,normal_real,22.0,1312.0,0.75,830.0,850.0,CR3,,,,,,,13,01,2026-06-30
initial-000001,BR_00000001,13,0030125150-000020,0030125150-000020,0030125150-000020,BR_00000006,normal_real,24.0,1305.0,0.7,820.0,840.0,DC53D+Z,,,,,,,14,01,2026-06-30
initial-000001,BR_00000001,14,0002002180-000360,0002002180-000360,0002002180-000360,BR_00000006,normal_real,17.08,1300.0,0.65,810.0,830.0,180YD+Z,,,,,,,15,01,2026-06-30
initial-000001,BR_00000001,15,0030118006-000010,0030118006-000010,0030118006-000010,BR_00000001,normal_real,55.45,1295.0,0.6,700.0,840.0,DC51D+Z,,,,,,,16,01,2026-05-31
initial-000001,BR_00000001,16,0002002195-000110,0002002195-000110,0002002195-000110,BR_00000006,normal_real,110.0,1285.0,0.6,830.0,850.0,DC54D+Z,,,,,,,17,01,2026-06-30
initial-000001,BR_00000001,17,0030123141-000010,0030123141-000010,0030123141-000010,BR_00000006,normal_real,50.0,1275.0,0.6,830.0,850.0,SCG4+Z,,,,,,,18,01,2026-06-30
initial-000001,BR_00000001,18,0030122897-000010,0030122897-000010,0030122897-000010,BR_00000006,actual_transition,24.0,1250.0,0.5,700.0,840.0,DC51D+Z,,,,,,,19,01,2026-06-30
initial-000001,BR_00000001,19,0030120727-000030,0030120727-000030,0030120727-000030,BR_00000001,normal_real,300.0,1227.0,0.45,715.0,735.0,DX51D+Z1,,,,,,,20,01,2026-06-05
