artifact_kind,publishable,node_id,source_order_id,source_resource_id,source_period,assigned_period,chain_id,chain_sequence,node_sequence,weight,width,thickness,min_temperature,max_temperature,grade,grade_class,hot_roll_grade,soft_hard_class,material_role,split_lineage,virtual_lineage,width_warning,thickness_warning,temperature_warning,chain_warning,business_warning
diagnostic_candidate,True,0002001400-000050,0002001400-000050,0002001400-000050,BR_00000003,BR_00000003,numeric-chain-000090,1,27,30,1455,0.65,830,850,DC53D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0002001998-000310,0002001998-000310,0002001998-000310,BR_00000030,BR_00000003,numeric-chain-000090,1,28,24,1450,0.65,830,850,DC54D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0002001612-000660,0002001612-000660,0002001612-000660,BR_00000012,BR_00000003,numeric-chain-000090,1,29,23,1442,0.65,830,850,DC54D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0002002009-000260,0002002009-000260,0002002009-000260,BR_00000030,BR_00000003,numeric-chain-000090,1,30,46,1432,0.65,830,850,DC54D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0002001423-000170,0002001423-000170,0002001423-000170,BR_00000006,BR_00000006,numeric-chain-000015,1,1,770,1343,1,830,850,DC54D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0002001463-000030,0002001463-000030,0002001463-000030,BR_00000006,BR_00000006,numeric-chain-000020,2,1,648,1165,1.2,820,840,DX53D+Z-CD,IF钢,SPHETI-5,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0002001888-000010,0002001888-000010,0002001888-000010,BR_00000024,BR_00000006,numeric-chain-000022,3,1,20,1589,1.4,770,810,DC51D+Z,普碳,SPHC,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0002001750-000550,0002001750-000550,0002001750-000550,BR_00000018,BR_00000006,numeric-chain-000022,3,2,24,1589,1.4,770,810,DC51D+Z,普碳,SPHC,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0030105416-000030,0030105416-000030,0030105416-000030,BR_00000012,BR_00000006,numeric-chain-000022,3,3,48,1502,1.2,795,815,HC220YD+Z,加磷高强、烘烤硬化钢,H220Y,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0030107311-000380,0030107311-000380,0030107311-000380,BR_00000018,BR_00000006,numeric-chain-000022,3,4,48,1500,1,700,840,DC51D+Z,普碳,SPHC,软钢,actual_transition,,,,,,,
