artifact_kind,publishable,node_id,source_order_id,source_resource_id,source_period,assigned_period,chain_id,chain_sequence,node_sequence,weight,width,thickness,min_temperature,max_temperature,grade,grade_class,hot_roll_grade,soft_hard_class,material_role,split_lineage,virtual_lineage,width_warning,thickness_warning,temperature_warning,chain_warning
diagnostic_candidate,True,0002002170-000140,0002002170-000140,0002002170-000140,BR_00000006,BR_00000001,numeric-chain-000023,1,27,16,899,1.2,770,810,DC51D+Z,普碳,SPHC,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002002170-000070,0002002170-000070,0002002170-000070,BR_00000006,BR_00000001,numeric-chain-000023,1,28,16,890,1.2,770,810,DC51D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002002055-000070,0002002055-000070,0002002055-000070,BR_00000001,BR_00000001,numeric-chain-000019,2,1,491,1191,0.6,820,840,DX53D+Z-MD,IF钢,SPHETI-5,软钢,normal_real,,,,,,
diagnostic_candidate,True,0010019680-000010,0010019680-000010,0010019680-000010,BR_00000006,BR_00000001,numeric-chain-000019,2,2,48,1170,0.6,700,840,DC51D+Z-D,普碳,SPHC,软钢,normal_real,,,,,,
diagnostic_candidate,True,split-000001:piece:0002,0002002055-000120,0002002055-000120,BR_00000001,BR_00000001,numeric-chain-000019,2,3,70.30,1150,0.6,820,840,DX53D+Z-MD,IF钢,SPHETI-5,软钢,normal_real,"{""accepted_source_sequence"":1,""authorization_decision_fingerprint"":""e13c3ae788ef2a71d429bed1f3005bf1d0d5ec4af91e7925fa7d54534c94de3b"",""authorization_rule_id"":""controlled_order_split"",""authorization_rule_version"":""1"",""origin_assigned_period"":""BR_00000001"",""parent_node_id"":""0002002055-000120"",""parent_source_order_id"":""0002002055-000120"",""parent_weight"":570.3,""partition_id"":""partition-b9d00e3e0136f1d80122a53d6a83f34a0b4ebb2cd157acf243c498d20d4275c2"",""piece_count"":2,""piece_index"":2,""reason_code"":""same_period_split"",""source_period"":""BR_00000001"",""source_resource_id"":""0002002055-000120"",""split_mode"":""same_period_split"",""target_assigned_period"":""BR_00000001""}",,,,,
diagnostic_candidate,True,0002002054-000340,0002002054-000340,0002002054-000340,BR_00000001,BR_00000001,numeric-chain-000019,2,4,102.32,1150,0.6,815,835,DX51D+Z-MD,普碳,SPHC,软钢,normal_real,,,,,,
diagnostic_candidate,True,split-000001:piece:0001,0002002055-000120,0002002055-000120,BR_00000001,BR_00000001,numeric-chain-000019,2,5,500.00,1150,0.6,820,840,DX53D+Z-MD,IF钢,SPHETI-5,软钢,normal_real,"{""accepted_source_sequence"":1,""authorization_decision_fingerprint"":""e13c3ae788ef2a71d429bed1f3005bf1d0d5ec4af91e7925fa7d54534c94de3b"",""authorization_rule_id"":""controlled_order_split"",""authorization_rule_version"":""1"",""origin_assigned_period"":""BR_00000001"",""parent_node_id"":""0002002055-000120"",""parent_source_order_id"":""0002002055-000120"",""parent_weight"":570.3,""partition_id"":""partition-b9d00e3e0136f1d80122a53d6a83f34a0b4ebb2cd157acf243c498d20d4275c2"",""piece_count"":2,""piece_index"":1,""reason_code"":""same_period_split"",""source_period"":""BR_00000001"",""source_resource_id"":""0002002055-000120"",""split_mode"":""same_period_split"",""target_assigned_period"":""BR_00000001""}",,,,,
diagnostic_candidate,True,virtual-000017,,,,BR_00000001,numeric-chain-000019,2,6,20.00,1250,0.60,820,840,SPHC,,SPHC,,virtual_sphc,,"{""accepted_sequence"":17,""prototype_id"":""virtual_sphc:1250x0.6"",""purpose"":""split_separator"",""related_partition_id"":""partition-b9d00e3e0136f1d80122a53d6a83f34a0b4ebb2cd157acf243c498d20d4275c2""}",,,,
diagnostic_candidate,True,0010019680-000030,0010019680-000030,0010019680-000030,BR_00000006,BR_00000001,numeric-chain-000019,2,7,48,1160,0.6,700,840,DC51D+Z-D,普碳,SPHC,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002002176-000010,0002002176-000010,0002002176-000010,BR_00000006,BR_00000001,numeric-chain-000019,2,8,15,1150,0.65,770,810,DC51D+Z,普碳,SPHC,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030117283-000020,0030117283-000020,0030117283-000020,BR_00000001,BR_00000001,numeric-chain-000019,2,9,3.44,1130,0.65,790,810,SCG260Y+Z,加磷高强、烘烤硬化钢,H260Y,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030125206-000010,0030125206-000010,0030125206-000010,BR_00000006,BR_00000001,numeric-chain-000019,2,10,23,1120,0.6,770,810,DC51D+Z,深冲钢（PD）,SPHCQ,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030124800-000060,0030124800-000060,0030124800-000060,BR_00000006,BR_00000001,numeric-chain-000019,2,11,23,1116,0.5,770,810,DX52D+Z,深冲钢（PD）,SPHCQ,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030124800-000050,0030124800-000050,0030124800-000050,BR_00000006,BR_00000001,numeric-chain-000019,2,12,23,1066,0.5,770,810,DX52D+Z,深冲钢（PD）,SPHCQ,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002002184-000130,0002002184-000130,0002002184-000130,BR_00000006,BR_00000001,numeric-chain-000019,2,13,19,1063,0.6,770,810,DC51D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002002195-000050,0002002195-000050,0002002195-000050,BR_00000006,BR_00000001,numeric-chain-000019,2,14,48,1063,0.65,770,810,DC51D+Z,普碳,SPHC,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002002202-000050,0002002202-000050,0002002202-000050,BR_00000006,BR_00000001,numeric-chain-000019,2,15,25,1060,0.7,770,810,DC51D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002002195-000040,0002002195-000040,0002002195-000040,BR_00000006,BR_00000001,numeric-chain-000019,2,16,64.87,1051,0.65,770,810,DC51D+Z,普碳,SPHC,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002002176-000210,0002002176-000210,0002002176-000210,BR_00000006,BR_00000001,numeric-chain-000019,2,17,15,1042,0.6,770,810,DC51D+Z,普碳,SPHC,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002002195-000220,0002002195-000220,0002002195-000220,BR_00000006,BR_00000001,numeric-chain-000019,2,18,80,1040,0.65,770,810,DC51D+Z,普碳,SPHC,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002002184-000210,0002002184-000210,0002002184-000210,BR_00000006,BR_00000001,numeric-chain-000019,2,19,25,1030,0.6,770,810,DC51D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002002180-000030,0002002180-000030,0002002180-000030,BR_00000006,BR_00000001,numeric-chain-000019,2,20,89,1020,0.6,770,810,DC51D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002002176-000090,0002002176-000090,0002002176-000090,BR_00000006,BR_00000001,numeric-chain-000019,2,21,20,983,0.6,770,810,DC51D+Z,普碳,SPHC,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002002170-000280,0002002170-000280,0002002170-000280,BR_00000006,BR_00000001,numeric-chain-000019,2,22,19,971,0.65,770,810,DC51D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002002180-000050,0002002180-000050,0002002180-000050,BR_00000006,BR_00000001,numeric-chain-000019,2,23,20,910,0.65,770,810,DC51D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002002195-000210,0002002195-000210,0002002195-000210,BR_00000006,BR_00000001,numeric-chain-000019,2,24,8.86,830,0.6,770,810,DC51D+Z,普碳,SPHC,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002002170-000130,0002002170-000130,0002002170-000130,BR_00000006,BR_00000001,numeric-chain-000019,2,25,55,828,0.65,770,810,DC51D+Z,普碳,SPHC,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030119938-000340,0030119938-000340,0030119938-000340,BR_00000001,BR_00000001,numeric-chain-000013,3,1,48,1500,2.49,820,840,DC53D+Z,IF钢,SPHETI-5,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030122647-000590,0030122647-000590,0030122647-000590,BR_00000006,BR_00000001,numeric-chain-000013,3,2,48,1500,2.49,820,840,DC53D+Z,IF钢,SPHETI-5,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030122647-000580,0030122647-000580,0030122647-000580,BR_00000006,BR_00000001,numeric-chain-000013,3,3,48,1363,2.49,820,840,DC53D+Z,IF钢,SPHETI-5,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030119938-000330,0030119938-000330,0030119938-000330,BR_00000001,BR_00000001,numeric-chain-000013,3,4,95.14,1300,2.49,820,840,DC53D+Z,IF钢,SPHETI-5,软钢,normal_real,,,,,,
