         84895789 function calls (82202019 primitive calls) in 16.472 seconds

   Ordered by: cumulative time
   List reduced from 1059 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1600    0.006    0.000    0.658    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_rules.py:435(rebind)
   362651    0.137    0.000    0.601    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_rules.py:451(_severity_ratio)
   368192    0.339    0.000    0.596    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_rules.py:192(__post_init__)
    31206    0.173    0.000    0.567    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_rules.py:585(_chain_rule)
    65951    0.238    0.000    0.520    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_state.py:215(__post_init__)
   859923    0.252    0.000    0.505    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_units.py:49(checked_product)
   476875    0.065    0.000    0.468    0.000 {method 'all' of 'numpy.ndarray' objects}
      178    0.108    0.001    0.457    0.003 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_state.py:687(build)
      176    0.002    0.000    0.456    0.003 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_search.py:514(_build_plan)
   476875    0.079    0.000    0.403    0.000 /Users/miles/anaconda3/envs/aps_3.10.18/lib/python3.10/site-packages/numpy/_core/_methods.py:67(_all)
    22290    0.018    0.000    0.373    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_rules.py:712(<genexpr>)
  2387754    0.366    0.000    0.366    0.000 {built-in method builtins.hasattr}
  2388858    0.174    0.000    0.357    0.000 /Users/miles/anaconda3/envs/aps_3.10.18/lib/python3.10/abc.py:117(__instancecheck__)
      174    0.032    0.000    0.352    0.002 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_evaluation.py:300(_delivery)
   487178    0.334    0.000    0.334    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     1198    0.092    0.000    0.319    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_construction.py:394(dfs)
   461758    0.181    0.000    0.269    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_units.py:53(round_half_up_ratio)
     6688    0.004    0.000    0.267    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/contracts.py:69(dump)
     6688    0.008    0.000    0.264    0.000 /Users/miles/anaconda3/envs/aps_3.10.18/lib/python3.10/json/__init__.py:183(dumps)
     6688    0.006    0.000    0.251    0.000 /Users/miles/anaconda3/envs/aps_3.10.18/lib/python3.10/json/encoder.py:182(encode)
     6685    0.244    0.000    0.244    0.000 /Users/miles/anaconda3/envs/aps_3.10.18/lib/python3.10/json/encoder.py:204(iterencode)
      762    0.003    0.000    0.242    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_rules.py:720(evaluate_numeric_rows)
    67557    0.232    0.000    0.232    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_state.py:546(<genexpr>)
    17832    0.010    0.000    0.222    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_rules.py:706(<genexpr>)
  2678095    0.198    0.000    0.221    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_rules.py:227(<genexpr>)
    86922    0.108    0.000    0.205    0.000 /Users/miles/anaconda3/envs/aps_3.10.18/lib/python3.10/dataclasses.py:1187(fields)
      174    0.006    0.000    0.193    0.001 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_evaluation.py:406(_chain_facts)
   924866    0.162    0.000    0.190    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/budget.py:20(_finite_time)
        1    0.002    0.002    0.190    0.190 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_construction.py:500(construct_numeric_initial_plan)
        1    0.000    0.000    0.189    0.189 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_solver.py:51(finish)
        1    0.000    0.000    0.188    0.188 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/solver.py:320(build_core_solver_result)
  2388858    0.180    0.000    0.183    0.000 {built-in method _abc._abc_instancecheck}
     3696    0.012    0.000    0.178    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_evaluation.py:379(_one_chain_facts)
  4357957    0.161    0.000    0.161    0.000 {built-in method builtins.getattr}
      174    0.003    0.000    0.150    0.001 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_evaluation.py:479(_assemble_evaluation)
        1    0.000    0.000    0.147    0.147 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_audit.py:156(audit_numeric_core_without_search_cache)
        3    0.000    0.000    0.146    0.049 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/solver.py:65(_problem_fingerprint)
   131890    0.047    0.000    0.137    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_resources.py:30(_temperature)


         84895789 function calls (82202019 primitive calls) in 16.472 seconds

