         39143096 function calls (38788486 primitive calls) in 8.938 seconds

   Ordered by: cumulative time
   List reduced from 1064 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    9.449    9.449 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/app/service.py:57(solve_request)
        1    0.000    0.000    9.283    9.283 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/solver.py:463(solve)
        1    0.000    0.000    9.252    9.252 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_solver.py:41(solve_numeric)
   962092    1.377    0.000    3.887    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_rules.py:468(_edge_rule)
        1    0.137    0.137    3.785    3.785 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_construction.py:137(build_numeric_construction_graph)
        1    0.000    0.000    3.727    3.727 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_refinement.py:805(run_numeric_serial_search)
        1    0.000    0.000    3.727    3.727 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_search.py:1423(_run_numeric_local_search)
        1    0.008    0.008    3.727    3.727 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_search.py:825(improve_numeric_whole_chain)
   144148    0.223    0.000    3.424    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_rules.py:557(evaluate_numeric_edge)
   720740    0.268    0.000    2.941    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_rules.py:564(<genexpr>)
      167    0.002    0.000    2.531    0.015 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_evaluation.py:614(evaluate_numeric_plan)
      172    0.001    0.000    2.527    0.015 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_search.py:620(_try_prepared_candidate)
      172    0.001    0.000    2.523    0.015 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_evaluation.py:632(evaluate_numeric_candidate)
     4458    0.036    0.000    2.080    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_rules.py:702(_evaluate_numeric_rows)
111425/106967    0.044    0.000    1.989    0.000 {method 'extend' of 'list' objects}
     3696    0.010    0.000    1.854    0.001 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_rules.py:738(evaluate_numeric_chain)
     3856    0.001    0.000    1.853    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_evaluation.py:616(<genexpr>)
   481875    0.134    0.000    1.348    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_rules.py:710(<genexpr>)
