         209729394 function calls (203055349 primitive calls) in 29.964 seconds

   Ordered by: cumulative time
   List reduced from 3348 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      7/1    0.000    0.000    2.464    2.464 /Users/miles/anaconda3/envs/aps_3.10.18/lib/python3.10/site-packages/numba/core/compiler_machinery.py:342(run)
   189/27    0.003    0.000    2.463    0.091 /Users/miles/anaconda3/envs/aps_3.10.18/lib/python3.10/site-packages/numba/core/compiler_machinery.py:267(_runPass)
   567/81    0.000    0.000    2.461    0.030 /Users/miles/anaconda3/envs/aps_3.10.18/lib/python3.10/site-packages/numba/core/compiler_machinery.py:271(check)
  8108445    1.272    0.000    2.447    0.000 {method 'as_tuple' of 'decimal.Decimal' objects}
    65005    0.019    0.000    2.415    0.000 /private/tmp/apsgo-v7-numeric-stage3.DGQBQE/src/apsgo_scheduler/core/model.py:252(total_weight)
     2263    0.004    0.000    2.109    0.001 /private/tmp/apsgo-v7-numeric-stage3.DGQBQE/src/apsgo_scheduler/core/rules/concrete.py:1171(evaluate)
      7/1    0.000    0.000    2.023    2.023 /Users/miles/anaconda3/envs/aps_3.10.18/lib/python3.10/site-packages/numba/core/typed_passes.py:107(run_pass)
      7/1    0.000    0.000    2.023    2.023 /Users/miles/anaconda3/envs/aps_3.10.18/lib/python3.10/site-packages/numba/core/typed_passes.py:68(type_inference_stage)
      7/1    0.000    0.000    2.017    2.017 /Users/miles/anaconda3/envs/aps_3.10.18/lib/python3.10/site-packages/numba/core/typeinfer.py:1064(propagate)
     17/2    0.003    0.000    2.017    1.008 /Users/miles/anaconda3/envs/aps_3.10.18/lib/python3.10/site-packages/numba/core/typeinfer.py:147(propagate)
    54200    0.017    0.000    2.014    0.000 /private/tmp/apsgo-v7-numeric-stage3.DGQBQE/src/apsgo_scheduler/core/rules/concrete.py:1178(<genexpr>)
 1653/150    0.005    0.000    2.010    0.013 /Users/miles/anaconda3/envs/aps_3.10.18/lib/python3.10/site-packages/numba/core/typeinfer.py:574(resolve)
 1740/162    0.002    0.000    2.008    0.012 /Users/miles/anaconda3/envs/aps_3.10.18/lib/python3.10/site-packages/numba/core/typing/context.py:268(resolve_function_type)
 1653/150    0.001    0.000    2.008    0.013 /Users/miles/anaconda3/envs/aps_3.10.18/lib/python3.10/site-packages/numba/core/typeinfer.py:1531(resolve_call)
 1684/162    0.002    0.000    2.007    0.012 /Users/miles/anaconda3/envs/aps_3.10.18/lib/python3.10/site-packages/numba/core/typing/context.py:320(_resolve_user_function_type)
   850/88    0.002    0.000    1.994    0.023 /Users/miles/anaconda3/envs/aps_3.10.18/lib/python3.10/site-packages/numba/core/typeinfer.py:564(__call__)
       12    0.000    0.000    1.984    0.165 /Users/miles/anaconda3/envs/aps_3.10.18/lib/python3.10/site-packages/numba/core/types/functions.py:534(get_call_type)
       12    0.000    0.000    1.984    0.165 /Users/miles/anaconda3/envs/aps_3.10.18/lib/python3.10/site-packages/numba/core/dispatcher.py:304(get_call_template)
        1    0.002    0.002    1.851    1.851 /private/tmp/apsgo-v7-numeric-stage3.DGQBQE/src/apsgo_scheduler/core/neighborhoods.py:1004(improve_chain_order)
        7    0.000    0.000    1.407    0.201 /Users/miles/anaconda3/envs/aps_3.10.18/lib/python3.10/site-packages/numba/core/typed_passes.py:439(run_pass)
  1049672    0.135    0.000    1.353    0.000 /private/tmp/apsgo-v7-numeric-stage3.DGQBQE/src/apsgo_scheduler/core/budget.py:128(allows_search)
    70001    0.016    0.000    1.329    0.000 /private/tmp/apsgo-v7-numeric-stage3.DGQBQE/src/apsgo_scheduler/core/compatibility.py:247(allows)


         209729394 function calls (203055349 primitive calls) in 29.964 seconds

   Ordered by: internal time
   List reduced from 3348 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 16066512    2.655    0.000    3.368    0.000 /private/tmp/apsgo-v7-numeric-stage3.DGQBQE/src/apsgo_scheduler/core/contracts.py:88(require_decimal)
8953689/5975891    1.275    0.000    2.714    0.000 /Users/miles/anaconda3/envs/aps_3.10.18/lib/python3.10/site-packages/numba/core/types/abstract.py:121(__hash__)
  8108445    1.272    0.000    2.447    0.000 {method 'as_tuple' of 'decimal.Decimal' objects}
228689/176752    1.097    0.000   10.710    0.000 /private/tmp/apsgo-v7-numeric-stage3.DGQBQE/src/apsgo_scheduler/core/contracts.py:118(sum_weights)
