chain_id,assigned_period,position,node_id,source_order_id,source_resource_id,source_period,material_role,weight,width,thickness,min_temperature,max_temperature,grade,partition_id,piece_index,virtual_prototype_id,virtual_purpose,virtual_accepted_sequence,related_partition_id,sequence,small_roll,delivery_date
initial-000001,BR_00000001,31,0030125206-000010,0030125206-000010,0030125206-000010,BR_00000006,normal_real,23.0,1120.0,0.6,770.0,810.0,DC51D+Z,,,,,,,32,01,2026-06-30
initial-000001,BR_00000001,32,0030124800-000060,0030124800-000060,0030124800-000060,BR_00000006,normal_real,23.0,1116.0,0.5,770.0,810.0,DX52D+Z,,,,,,,33,01,2026-06-30
initial-000001,BR_00000001,33,0002002176-000200,0002002176-000200,0002002176-000200,BR_00000006,normal_real,15.0,1080.0,0.6,770.0,810.0,DC51D+Z,,,,,,,34,01,2026-06-30
initial-000001,BR_00000001,34,0030124800-000050,0030124800-000050,0030124800-000050,BR_00000006,normal_real,23.0,1066.0,0.5,770.0,810.0,DX52D+Z,,,,,,,35,01,2026-06-30
initial-000001,BR_00000001,35,0002002184-000130,0002002184-000130,0002002184-000130,BR_00000006,normal_real,19.0,1063.0,0.6,770.0,810.0,DC51D+Z,,,,,,,36,01,2026-06-30
initial-000001,BR_00000001,36,0002002195-000050,0002002195-000050,0002002195-000050,BR_00000006,normal_real,48.0,1063.0,0.65,770.0,810.0,DC51D+Z,,,,,,,37,01,2026-06-30
initial-000003,BR_00000001,0,0002002187-000010,0002002187-000010,0002002187-000010,BR_00000006,normal_real,25.0,1710.0,0.6,810.0,830.0,180YD+Z,,,,,,,38,02,2026-06-30
initial-000003,BR_00000001,1,0002002170-000300,0002002170-000300,0002002170-000300,BR_00000006,normal_real,23.0,1500.0,0.6,810.0,830.0,180YD+Z,,,,,,,39,02,2026-06-30
initial-000003,BR_00000001,2,0030124457-000020,0030124457-000020,0030124457-000020,BR_00000006,normal_real,24.0,1483.0,0.6,820.0,840.0,DX53D+Z,,,,,,,40,02,2026-06-30
initial-000003,BR_00000001,3,0002002184-000220,0002002184-000220,0002002184-000220,BR_00000006,normal_real,23.0,1455.0,0.6,830.0,850.0,DC53D+Z,,,,,,,41,02,2026-06-30
initial-000003,BR_00000001,4,0005000563-000280,0005000563-000280,0005000563-000280,BR_00000006,normal_real,21.0,1448.0,0.8,830.0,850.0,CR3,,,,,,,42,02,2026-06-30
initial-000003,BR_00000001,5,0030119860-000030,0030119860-000030,0030119860-000030,BR_00000001,normal_real,56.58,1410.0,0.8,830.0,850.0,DC56D+Z,,,,,,,43,02,2026-05-31
initial-000003,BR_00000001,6,0002002053-000120,0002002053-000120,0002002053-000120,BR_00000001,normal_real,18.57,1400.0,0.8,820.0,840.0,DX53D+Z-MD,,,,,,,44,02,2026-05-31
initial-000003,BR_00000001,7,0005000563-000030,0005000563-000030,0005000563-000030,BR_00000006,normal_real,63.0,1365.0,0.8,830.0,850.0,CR180BH,,,,,,,45,02,2026-06-30
initial-000003,BR_00000001,8,0002002020-000080,0002002020-000080,0002002020-000080,BR_00000001,normal_real,13.01,1364.0,1.0,830.0,850.0,DC54D+Z,,,,,,,46,02,2026-05-31
initial-000003,BR_00000001,9,0005000563-000130,0005000563-000130,0005000563-000130,BR_00000006,normal_real,42.0,1350.0,0.8,830.0,850.0,CR180BH,,,,,,,47,02,2026-06-30
initial-000003,BR_00000001,10,0030122476-000050,0030122476-000050,0030122476-000050,BR_00000006,normal_real,8.0,1325.0,1.0,830.0,850.0,DC56D+Z,,,,,,,48,02,2026-06-30
