         72148557 function calls (70110844 primitive calls) in 14.478 seconds

   Ordered by: cumulative time
   List reduced from 1067 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    31206    0.173    0.000    0.565    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_rules.py:585(_chain_rule)
     1244    0.005    0.000    0.515    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_rules.py:435(rebind)
   309061    0.291    0.000    0.510    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_rules.py:192(__post_init__)
   303520    0.116    0.000    0.508    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_rules.py:451(_severity_ratio)
   476875    0.066    0.000    0.472    0.000 {method 'all' of 'numpy.ndarray' objects}
      178    0.105    0.001    0.450    0.003 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_state.py:687(build)
   756118    0.224    0.000    0.449    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_units.py:49(checked_product)
      176    0.002    0.000    0.449    0.003 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_search.py:518(_build_plan)
   476875    0.080    0.000    0.407    0.000 /Users/miles/anaconda3/envs/aps_3.10.18/lib/python3.10/site-packages/numpy/_core/_methods.py:67(_all)
    22290    0.018    0.000    0.374    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_rules.py:712(<genexpr>)
    46727    0.171    0.000    0.372    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_state.py:215(__post_init__)
      174    0.031    0.000    0.352    0.002 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_evaluation.py:300(_delivery)
   486110    0.336    0.000    0.336    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     1198    0.093    0.000    0.318    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_construction.py:394(dfs)
  1790792    0.278    0.000    0.278    0.000 {built-in method builtins.hasattr}
  1792250    0.134    0.000    0.275    0.000 /Users/miles/anaconda3/envs/aps_3.10.18/lib/python3.10/abc.py:117(__instancecheck__)
      762    0.003    0.000    0.244    0.000 /Users/miles/dev/dev-py/APSGOV7/src/apsgo_scheduler/core/_numeric_rules.py:720(evaluate_numeric_rows)
